team,date
ANA,2022-04-08
ARI,2022-04-11
BOS,2022-05-14
BUF,2022-04-08
CGY,2022-04-08
CAR,2022-05-30
CBJ,2022-04-14
CHI,2022-04-08
COL,2022-10-11
DAL,2022-05-15
DET,2022-04-08
EDM,2022-06-06
FLA,2022-05-23
LAK,2022-05-14
MIN,2022-05-12
MTL,2022-03-25
NJD,2022-04-14
NSH,2022-05-09
NYI,2022-04-17
NYR,2022-06-11
OTT,2022-04-14
PHI,2022-03-29
PIT,2022-05-15
SEA,2022-04-15
SJS,2022-04-08
STL,2022-05-27
TBL,2022-06-26
TOR,2022-05-14
VAN,2022-04-15
VGK,2022-04-27
WPG,2022-04-20
WSH,2022-05-13
